"node","time","sensor","temp_C"
8,2026-06-30 06:15:57,"testSB_C",-17.1650633111862
9,2026-06-30 06:15:57,"ntc1_C",-16.8959099342102
9,2026-06-30 06:15:57,"ntc2_C",-17.0386092374298
9,2026-06-30 06:15:57,"testSB_C",-16.9843115296795
10,2026-06-30 06:15:57,"ntc1_C",-17.0267731887624
10,2026-06-30 06:15:57,"ntc2_C",-17.0286181609362
10,2026-06-30 06:15:57,"testSB_C",-17.1873687964741
11,2026-06-30 06:15:57,"ntc1_C",-16.9585611086253
11,2026-06-30 06:15:57,"ntc2_C",-17.5626700730406
11,2026-06-30 06:15:57,"testSB_C",-17.0714089409909
12,2026-06-30 06:15:57,"ntc1_C",-17.5746900130961
12,2026-06-30 06:15:57,"ntc2_C",-17.3645237834964
12,2026-06-30 06:15:57,"testSB_C",-16.961914761343
13,2026-06-30 06:15:57,"ntc1_C",-16.8172980230067
13,2026-06-30 06:15:57,"ntc2_C",-17.5261218637635
13,2026-06-30 06:15:57,"testSB_C",-16.9479958914794
14,2026-06-30 06:15:57,"ntc1_C",-17.0911204303123
14,2026-06-30 06:15:57,"ntc2_C",-16.9591907581973
14,2026-06-30 06:15:57,"testSB_C",-16.7996188422015
15,2026-06-30 06:15:57,"ntc1_C",-16.9430715406157
15,2026-06-30 06:15:57,"ntc2_C",-17.2481302284954
15,2026-06-30 06:15:57,"testSB_C",-16.9800238975809
16,2026-06-30 06:15:57,"ntc1_C",-17.0742478029794
16,2026-06-30 06:15:57,"ntc2_C",-17.3611261173811
16,2026-06-30 06:15:57,"testSB_C",-17.1640570277311
17,2026-06-30 06:15:57,"ntc1_C",-16.8983192284891
17,2026-06-30 06:15:57,"ntc2_C",-17.5020010923472
17,2026-06-30 06:15:57,"testSB_C",-17.0345620836531
18,2026-06-30 06:15:57,"ntc1_C",-16.7592053166118
18,2026-06-30 06:15:57,"ntc2_C",-17.1180531249507
18,2026-06-30 06:15:57,"testSB_C",-16.6966150337268
19,2026-06-30 06:15:57,"ntc1_C",-16.7789870178532
19,2026-06-30 06:15:57,"ntc2_C",-17.2815512167913
19,2026-06-30 06:15:57,"testSB_C",-16.9530220330925
20,2026-06-30 06:15:57,"ntc1_C",-16.8379994296376
20,2026-06-30 06:15:57,"ntc2_C",-17.2252471782661
20,2026-06-30 06:15:57,"testSB_C",-16.9515310140848
